paper_id,source_table_id,status,reason,rows_total,noise_rows,noise_ratio,top_reasons,queued_at
doi:10.1002/adfm.202008831,TBL-20260216145415-001,queued_table_remake,translation_status_untranslatable_noise,7,7,1.0000,"auto_denoised:7,auto_reconstructed:7,effect_unknown:7,legacy_manual_cleanup_flag:7,low_statement_source_overlap:7",2026-02-16T21:56:48.904558+00:00
doi:10.1002/adfm.202008831,TBL-20260216145415-002,queued_table_remake,translation_status_untranslatable_noise,1,1,1.0000,"auto_denoised:1,auto_reconstructed:1,effect_unknown:1,environment_unresolved:1,legacy_manual_cleanup_flag:1",2026-02-16T21:56:48.904558+00:00
doi:10.1002/adfm.202008831,TBL-20260216145415-003,queued_table_remake,translation_status_untranslatable_noise,7,7,1.0000,"auto_denoised:7,auto_reconstructed:7,effect_unknown:7,legacy_manual_cleanup_flag:7,low_statement_source_overlap:7",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-001,queued_table_remake,translation_status_untranslatable_noise,25,25,1.0000,"effect_unknown:25,legacy_manual_cleanup_flag:25,low_statement_source_overlap:25,outcome_unresolved:25,translation_status:untranslatable_noise:25",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-002,queued_table_remake,translation_status_untranslatable_noise,2,2,1.0000,"effect_unknown:2,environment_unresolved:2,legacy_manual_cleanup_flag:2,low_statement_source_overlap:2,outcome_unresolved:2",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-003,queued_table_remake,translation_status_untranslatable_noise,21,21,1.0000,"effect_unknown:21,legacy_manual_cleanup_flag:21,outcome_unresolved:21,translation_status:untranslatable_noise:21,low_statement_source_overlap:20",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-006,queued_table_remake,translation_status_untranslatable_noise,8,8,1.0000,"effect_unknown:8,environment_unresolved:8,legacy_manual_cleanup_flag:8,low_statement_source_overlap:8,outcome_unresolved:8",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-007,queued_table_remake,translation_status_untranslatable_noise,23,23,1.0000,"effect_unknown:23,legacy_manual_cleanup_flag:23,low_statement_source_overlap:23,outcome_unresolved:23,translation_status:untranslatable_noise:23",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-008,queued_table_remake,translation_status_untranslatable_noise,1,1,1.0000,"effect_unknown:1,environment_unresolved:1,legacy_manual_cleanup_flag:1,outcome_unresolved:1,translation_status:untranslatable_noise:1",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-009,queued_table_remake,translation_status_untranslatable_noise,14,14,1.0000,"effect_unknown:14,legacy_manual_cleanup_flag:14,low_statement_source_overlap:14,outcome_unresolved:14,translation_status:untranslatable_noise:14",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-011,queued_table_remake,translation_status_untranslatable_noise,3,3,1.0000,"effect_unknown:3,environment_unresolved:3,legacy_manual_cleanup_flag:3,low_statement_source_overlap:3,outcome_unresolved:3",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-013,queued_table_remake,translation_status_untranslatable_noise,23,23,1.0000,"effect_unknown:23,legacy_manual_cleanup_flag:23,low_statement_source_overlap:23,outcome_unresolved:23,translation_status:untranslatable_noise:23",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-014,queued_table_remake,translation_status_untranslatable_noise,21,21,1.0000,"effect_unknown:21,legacy_manual_cleanup_flag:21,low_statement_source_overlap:21,outcome_unresolved:21,translation_status:untranslatable_noise:21",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-015,queued_table_remake,translation_status_untranslatable_noise,11,11,1.0000,"effect_unknown:11,legacy_manual_cleanup_flag:11,low_statement_source_overlap:11,outcome_unresolved:11,translation_status:untranslatable_noise:11",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-016,queued_table_remake,translation_status_untranslatable_noise,25,25,1.0000,"effect_unknown:25,legacy_manual_cleanup_flag:25,low_statement_source_overlap:25,outcome_unresolved:25,translation_status:untranslatable_noise:25",2026-02-16T21:56:48.904558+00:00
doi:10.1002/cne.920180503,TBL-20260216195147-017,queued_table_remake,translation_status_untranslatable_noise,1,1,1.0000,"effect_unknown:1,legacy_manual_cleanup_flag:1,low_statement_source_overlap:1,outcome_unresolved:1,source_row_low_information:1",2026-02-16T21:56:48.904558+00:00
