paper_id,source_table_id,table_status,rows_total,verified_strong,verified_weak,suspect_rule,suspect_table,low_info_source_rows,env_resolved_rows,out_resolved_rows,effect_known_rows,auto_reconstructed_rows,auto_denoised_rows,top_reasons
doi:10.1002/cne.920180503,TBL-20260216225733-001,inadequate_table_remake,25,0,0,5,20,20,25,25,0,0,0,"low_statement_source_overlap:25,effect_unknown:25,translation_status:untranslatable_noise:25,source_row_low_information:20"
doi:10.1002/cne.920180503,TBL-20260216225733-003,inadequate_table_remake,21,0,0,10,11,11,21,21,0,0,0,"effect_unknown:21,translation_status:untranslatable_noise:21,low_statement_source_overlap:20,source_row_low_information:11"
doi:10.1002/cne.920180503,TBL-20260216225733-007,inadequate_table_remake,23,0,0,4,19,19,23,23,0,0,0,"low_statement_source_overlap:23,effect_unknown:23,translation_status:untranslatable_noise:23,source_row_low_information:19"
doi:10.1002/cne.920180503,TBL-20260216225733-009,inadequate_table_remake,14,0,0,5,9,9,14,14,0,0,0,"low_statement_source_overlap:14,effect_unknown:14,translation_status:untranslatable_noise:14,source_row_low_information:9"
doi:10.1002/cne.920180503,TBL-20260216225733-013,inadequate_table_remake,23,0,0,2,21,21,23,23,0,0,0,"low_statement_source_overlap:23,effect_unknown:23,translation_status:untranslatable_noise:23,source_row_low_information:21"
doi:10.1002/cne.920180503,TBL-20260216225733-014,inadequate_table_remake,21,0,0,3,18,18,21,21,0,0,0,"low_statement_source_overlap:21,effect_unknown:21,translation_status:untranslatable_noise:21,source_row_low_information:18"
doi:10.1002/cne.920180503,TBL-20260216225733-015,inadequate_table_remake,11,0,0,6,5,5,11,11,0,0,0,"low_statement_source_overlap:11,effect_unknown:11,translation_status:untranslatable_noise:11,source_row_low_information:5"
doi:10.1002/cne.920180503,TBL-20260216225733-016,inadequate_table_remake,25,0,0,5,20,20,25,24,0,0,0,"low_statement_source_overlap:25,effect_unknown:25,translation_status:untranslatable_noise:25,source_row_low_information:20,outcome_unresolved:1"
doi:10.1002/cne.920180503,TBL-20260216225733-017,inadequate_table_remake,1,0,0,0,1,1,1,1,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1002/cne.920180503,TBL-20260216225733-020,inadequate_table_remake,24,0,0,2,22,22,24,24,0,0,0,"low_statement_source_overlap:24,effect_unknown:24,translation_status:untranslatable_noise:24,source_row_low_information:22"
doi:10.1002/cne.920180503,TBL-20260216225733-022,inadequate_table_remake,2,0,0,1,1,1,2,2,0,0,0,"low_statement_source_overlap:2,effect_unknown:2,translation_status:untranslatable_noise:2,source_row_low_information:1"
doi:10.1002/cne.920180503,TBL-20260216225733-028,inadequate_table_remake,14,0,0,7,7,7,14,14,0,0,0,"low_statement_source_overlap:14,effect_unknown:14,translation_status:untranslatable_noise:14,source_row_low_information:7"
doi:10.1002/cne.920180503,TBL-20260216225733-029,inadequate_table_remake,1,0,0,0,1,1,1,1,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1002/hbm.24616,TBL-20260216225749-002,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1002/hbm.24616,TBL-20260216225749-003,inadequate_table_remake,2,0,0,0,2,2,2,0,0,0,0,"source_row_low_information:2,low_statement_source_overlap:2,outcome_unresolved:2,effect_unknown:2,translation_status:untranslatable_noise:2"
doi:10.1002/joc.2120,TBL-20260216225753-001,inadequate_table_remake,2,1,0,0,1,1,2,1,1,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1,translation_status:inferred:1"
doi:10.1002/joc.2120,TBL-20260216225753-004,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0015,TBL-20260216225840-002,inadequate_table_remake,1,0,0,0,1,1,1,1,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0015,TBL-20260216225840-003,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0015,TBL-20260216225840-004,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0015,TBL-20260216225840-006,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0015,TBL-20260216225840-007,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1996.0032,TBL-20260216225846-004,inadequate_table_remake,1,0,0,0,1,1,1,1,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1999.0169,TBL-20260216225851-003,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
doi:10.1006/jevp.1999.0169,TBL-20260216225851-004,inadequate_table_remake,1,0,0,0,1,1,1,0,0,0,0,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1"
